losses,i_loss,f_loss
"[525076.1, 522522.8, 519988.2, 517413.3, 514740.78]",511910.5,29144.322
"[525243.2, 522494.8, 519712.1, 516824.53, 513758.22]",510433.88,26641.258
"[527227.0, 524307.4, 521306.97, 518146.16, 514739.56]",510993.4,25470.227
"[528843.06, 526333.1, 523826.78, 521267.06, 518598.88]",515765.06,28786.172
"[524905.44, 522218.3, 519558.88, 516860.16, 514056.66]",511081.22,28478.627
"[525121.56, 522566.8, 520057.88, 517535.1, 514942.2]",512223.44,29899.273
"[525477.6, 522901.6, 520350.6, 517762.94, 515081.3]",512243.97,29021.46
"[526650.75, 523970.0, 521311.62, 518608.7, 515797.2]",512809.25,28416.072
"[527055.75, 524081.94, 521094.8, 518008.94, 514740.0]",511196.72,26212.604
"[526421.0, 523445.22, 520560.88, 517683.97, 514734.94]",511637.94,28378.992
"[523149.62, 520553.5, 517947.78, 515273.7, 512466.62]",509461.84,28105.414
"[525275.4, 522670.22, 520068.62, 517406.25, 514624.0]",511655.38,28316.75
"[528811.75, 525848.6, 523010.4, 520213.3, 517381.97]",514440.44,29183.19
"[526483.94, 523851.5, 521248.12, 518608.2, 515870.97]",512972.94,28772.031
"[525159.44, 522589.56, 520004.25, 517343.66, 514547.03]",511548.66,28011.043
"[523582.3, 520767.94, 517925.5, 514980.62, 511856.56]",508472.53,26679.887
"[525889.3, 523355.4, 520850.25, 518318.28, 515705.25]",512951.62,29536.078
"[527355.9, 524728.5, 522124.0, 519480.38, 516735.3]",513825.8,28645.926
"[525674.56, 523175.12, 520669.38, 518099.9, 515413.72]",512549.16,28712.154
"[526502.7, 523812.88, 521131.03, 518391.47, 515525.34]",512462.5,27760.852
"[523070.3, 520322.06, 517551.12, 514688.97, 511661.3]",508393.06,27127.676
"[524872.1, 522184.38, 519542.9, 516879.25, 514129.78]",511230.06,28987.549
"[526555.9, 523679.94, 520890.72, 518109.75, 515263.88]",512281.0,28959.512
"[524482.56, 521639.25, 518741.66, 515714.84, 512477.7]",508945.62,26199.084
"[525570.9, 522930.38, 520299.12, 517612.78, 514806.94]",511813.75,28099.117
"[525831.25, 523299.44, 520766.34, 518173.94, 515464.56]",512576.9,28639.969
"[525462.2, 522774.06, 520045.66, 517210.47, 514199.5]",510936.6,26904.527
"[526929.44, 524041.22, 521154.22, 518188.62, 515066.25]",511704.25,26874.809
"[525011.94, 522132.0, 519207.28, 516161.12, 512911.0]",509371.56,26226.332
"[524785.6, 521913.16, 519111.9, 516303.62, 513414.6]",510371.62,28454.63
"[527363.9, 524806.56, 522303.2, 519796.0, 517227.47]",514544.2,30167.03
"[526228.5, 523534.12, 520805.28, 517973.0, 514968.1]",511715.94,26921.152
"[522020.2, 519320.5, 516504.0, 513504.06, 510243.22]",506639.2,25715.406
"[528422.94, 525743.4, 523064.7, 520320.8, 517445.4]",514366.88,27667.725
"[527833.7, 525231.94, 522662.97, 520065.56, 517378.72]",514541.88,29028.303
"[524747.44, 521790.38, 518763.7, 515587.88, 512173.47]",508425.9,25468.041
"[528012.4, 525219.5, 522471.44, 519694.2, 516818.28]",513770.44,28224.682
"[524736.25, 522223.4, 519729.84, 517202.1, 514583.72]",511818.47,29512.713
"[524737.94, 522153.03, 519524.56, 516791.2, 513892.56]",510758.03,27470.969
"[525019.0, 522110.22, 519195.8, 516194.1, 513024.8]",509601.47,26575.105
"[524366.0, 521746.84, 519054.44, 516227.25, 513197.94]",509892.5,26703.754
"[523629.66, 521128.8, 518541.2, 515811.8, 512879.94]",509676.44,26907.139
"[527487.25, 524895.44, 522293.88, 519622.6, 516819.0]",513819.56,28060.953
"[527007.25, 524360.0, 521741.97, 519091.62, 516343.53]",513437.28,28869.814
"[526665.2, 523883.47, 521112.06, 518279.47, 515313.0]",512138.4,27576.94
"[523595.56, 520634.72, 517618.12, 514461.6, 511081.1]",507382.12,25705.914
"[525657.1, 522760.03, 519904.1, 517009.0, 513997.12]",510790.38,27494.938
"[524047.03, 521231.88, 518381.38, 515420.44, 512274.53]",508861.06,26520.363
"[523661.7, 520636.44, 517481.94, 514109.84, 510428.72]",506332.38,24689.256
"[525203.75, 522653.03, 520124.03, 517556.5, 514895.5]",512079.38,29002.992
"[522362.66, 519640.34, 516982.4, 514319.84, 511587.88]",508719.53,29233.04
"[525634.8, 522962.38, 520250.94, 517435.88, 514449.62]",511217.38,27093.041
"[524309.8, 521730.62, 519165.5, 516556.44, 513842.62]",510962.3,28782.82
"[527698.1, 525369.5, 523077.44, 520778.44, 518427.7]",515984.72,31846.484
"[525209.0, 522705.94, 520268.16, 517840.72, 515372.72]",512813.1,31394.68
"[522200.7, 519361.9, 516458.38, 513413.94, 510146.22]",506568.2,25934.695
"[527200.25, 524448.2, 521722.12, 518949.8, 516061.56]",512987.06,27849.836
"[528485.94, 525586.75, 522682.8, 519697.22, 516547.34]",513150.75,26654.717
"[530710.25, 527588.75, 524620.75, 521709.72, 518772.66]",515726.1,28694.129
"[526497.7, 523683.8, 520860.16, 517953.0, 514887.44]",511584.03,27011.074
"[525183.4, 522473.47, 519731.4, 516889.0, 513874.28]",510612.4,26999.441
"[528178.5, 525497.1, 522822.06, 520087.03, 517227.62]",514173.06,27953.625
"[524502.3, 521766.75, 519002.56, 516136.56, 513098.78]",509812.88,27002.0
"[526667.3, 524085.3, 521527.25, 518932.84, 516242.22]",513396.03,28961.79
"[525289.44, 522791.5, 520267.9, 517664.25, 514925.8]",511991.72,28393.004
"[524954.56, 522469.9, 520045.8, 517627.06, 515164.62]",512606.88,31219.873
"[523622.8, 521233.88, 518844.72, 516409.94, 513878.53]",511199.62,29875.191
"[525492.6, 522766.25, 520018.25, 517175.47, 514169.3]",510921.28,26995.742
"[525790.1, 523042.2, 520277.06, 517425.9, 514417.34]",511173.06,27116.748
"[525942.8, 523229.47, 520559.34, 517863.75, 515077.25]",512131.75,28705.137
"[525409.9, 522477.0, 519531.2, 516491.12, 513273.8]",509792.94,26488.229
"[525121.5, 522504.8, 519931.0, 517338.12, 514668.7]",511858.34,29518.324
"[526648.2, 523911.12, 521221.94, 518512.34, 515715.38]",512762.84,28807.225
"[524578.5, 521879.34, 519232.03, 516568.9, 513825.9]",510939.06,29154.695
"[525124.8, 522680.72, 520199.44, 517629.25, 514915.9]",512000.66,28310.38
"[526829.6, 524088.25, 521423.94, 518765.72, 516048.12]",513206.16,29353.508
"[526134.0, 523699.06, 521225.34, 518660.75, 515952.7]",513041.4,28371.521
"[524990.06, 522100.5, 519236.5, 516317.5, 513265.97]",510001.22,27269.941
"[525226.6, 522808.03, 520370.5, 517862.4, 515231.8]",512423.3,28747.219
"[527954.06, 525150.9, 522395.25, 519610.7, 516725.1]",513666.7,27908.352
"[524954.2, 522278.9, 519593.9, 516829.06, 513918.4]",510788.75,27328.951
"[527009.2, 524405.6, 521808.25, 519157.03, 516390.2]",513444.12,28538.0
"[523487.22, 520991.06, 518441.84, 515783.5, 512958.88]",509902.44,27660.496
"[526764.25, 523952.78, 521139.38, 518250.22, 515208.34]",511937.22,27110.594
"[525094.75, 522317.94, 519544.94, 516701.75, 513716.94]",510511.97,27232.68
"[525376.4, 522497.75, 519591.84, 516579.44, 513380.0]",509909.72,26395.324
"[525532.25, 523089.5, 520640.7, 518136.3, 515522.0]",512743.1,29203.594
"[523801.7, 521323.22, 518827.56, 516260.62, 513566.06]",510684.6,28463.182
"[525374.9, 522602.03, 519767.78, 516800.72, 513624.38]",510154.5,26191.234
"[527361.9, 524234.2, 521199.12, 518160.03, 515029.66]",511718.2,27379.793
"[523237.6, 520582.78, 517961.12, 515309.38, 512562.4]",509655.22,28913.24
"[525897.4, 523009.34, 520138.7, 517209.47, 514142.47]",510856.28,27150.812
"[525330.25, 522641.2, 519882.03, 516986.9, 513885.28]",510498.12,26507.047
"[524727.1, 521971.6, 519245.44, 516477.5, 513597.56]",510534.56,28060.273
"[526192.8, 523861.72, 521558.16, 519235.94, 516852.75]",514365.1,31526.467
"[527680.9, 524821.5, 521962.97, 519027.7, 515938.06]",512615.44,26922.863
"[523426.75, 520754.88, 518019.62, 515155.2, 512091.6]",508749.75,26481.455
"[525986.6, 523324.9, 520630.62, 517838.88, 514882.9]",511688.8,27128.582
"[526019.44, 523196.2, 520408.75, 517582.12, 514643.84]",511516.06,27723.068
"[526567.8, 524029.03, 521474.97, 518848.12, 516091.06]",513143.06,28441.996
"[528000.9, 525279.44, 522583.5, 519846.75, 517000.03]",513974.2,28183.936
"[522667.3, 520036.88, 517369.2, 514599.9, 511662.62]",508486.28,27337.383
"[525220.94, 522667.44, 520121.16, 517524.44, 514817.2]",511940.0,28646.963
"[524508.4, 521531.6, 518574.06, 515547.5, 512370.47]",508954.4,26736.941
"[525405.1, 522815.38, 520257.25, 517667.78, 514989.16]",512161.34,29196.074
"[526532.6, 524041.3, 521542.28, 518980.34, 516299.84]",513440.5,28516.363
"[524881.6, 522029.94, 519183.12, 516263.38, 513193.2]",509892.0,26962.29
"[528106.44, 525211.94, 522370.3, 519498.4, 516522.12]",513363.38,27636.545
"[524756.4, 522125.66, 519484.2, 516768.75, 513914.25]",510852.88,27768.256
"[526242.75, 523516.94, 520731.4, 517817.94, 514702.0]",511302.6,26235.16
"[527269.75, 524511.5, 521841.2, 519188.1, 516485.34]",513668.44,29525.928
"[525120.56, 522416.5, 519756.25, 517073.28, 514303.0]",511378.72,28875.262
"[525295.4, 522564.53, 519839.03, 517050.2, 514129.44]",511004.75,27861.26
"[526316.44, 523578.2, 520831.0, 518005.2, 515031.62]",511835.03,27496.969
"[526759.9, 524218.75, 521692.16, 519121.8, 516452.38]",513622.72,29015.643
"[526174.5, 523393.75, 520661.97, 517905.38, 515054.06]",512037.06,28267.607
"[523432.12, 520524.6, 517650.34, 514728.56, 511680.47]",508425.06,27372.17
"[526828.25, 524156.3, 521483.16, 518741.7, 515867.6]",512788.78,27626.498
"[525746.5, 523018.8, 520254.62, 517385.47, 514339.3]",511037.12,26698.75
"[525580.06, 522900.1, 520236.06, 517519.9, 514686.28]",511665.56,27898.586
"[524131.44, 521281.5, 518410.38, 515439.8, 512292.9]",508884.75,26561.37
"[525885.0, 523242.6, 520628.53, 517977.22, 515225.0]",512308.78,28627.29
"[523702.78, 520904.06, 518072.16, 515132.7, 512008.75]",508620.78,26614.164
"[526086.1, 523332.03, 520594.94, 517800.44, 514882.03]",511763.56,27798.748
"[526862.6, 524103.72, 521456.25, 518847.84, 516215.3]",513494.9,30416.986
"[524116.28, 521497.8, 518846.06, 516097.0, 513185.66]",510042.4,27396.766
