rectangle number,configurations,loss,AUC,Sihlouette,created in x DIRECT iteration,rectangle volumes,rectangle diameters,optimal
0,"(0, [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.4436402260325849,0.5374177884319872,0.013102429104037583,0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517]","[True, True, True, True, True, False, False, False, False, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
1,"(1, [0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.6675370186567307,0.5195924764890283,0.011437377193942666,1,"[nan, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[nan, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647]","[nan, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
2,"(2, [0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.6880886256694794,0.44504446313765544,0.022190069779753685,1,"[nan, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112]","[nan, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647]","[nan, False, False, False, False, False, False, False, False, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
3,"(3, [0.5, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.44581450521945953,0.3846620361833344,0.012446482200175524,2,"[nan, nan, nan, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517]","[nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True]"
4,"(4, [0.5, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.22017397359013557,0.5944650258789168,0.004371150862425566,2,"[nan, nan, nan, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.012345679012345678, 0.012345679012345678, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.004115226337448559, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853, 0.001371742112482853]","[nan, nan, nan, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.0540925533894598, 1.0540925533894598, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.9428090415820634, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726, 0.816496580927726]","[nan, nan, nan, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
5,"(5, [0.167, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.44432914443314075,0.44463096877869607,0.01552888099104166,3,"[nan, nan, nan, nan, nan, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, nan, nan, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517]","[nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, True, True, True, True, False, False, False, False, False, False, False, False]"
6,"(6, [0.167, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.44931457564234734,0.45972657610588646,0.02184391673654318,3,"[nan, nan, nan, nan, nan, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112]","[nan, nan, nan, nan, nan, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647]","[nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
7,"(7, [0.5, 0.833, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.3446085974574089,0.5507652709938196,0.01051675365306437,3,"[nan, nan, nan, nan, nan, nan, nan, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, nan, nan, nan, nan, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515]","[nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
8,"(8, [0.5, 0.833, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",1.5308915078639984,0.6421598670111559,0.008927521761506796,3,"[nan, nan, nan, nan, nan, nan, nan, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704]","[nan, nan, nan, nan, nan, nan, nan, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515]","[nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
9,"(9, [0.5, 0.5, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.4460545927286148,0.5419749823819591,0.016507229767739773,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517, 1.1547005383792517]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
10,"(10, [0.5, 0.5, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.9481902184337896,0.49867864693446085,0.0034894610289484262,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515, 1.1547005383792515]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
11,"(11, [0.833, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 100)",0.8817931478843093,0.4374832932371024,0.010516724083572626,4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647, 1.247219128924647]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
