exp. number,configurations,loss,Sihlouette,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations)
0,"(0, [0.5, 0.5, 0.5, 0.5, 0.5], 32)",24494.154296875,0.5703433746445755,2.409123654407009,779.252776283223,nan,nan,True,False,nan
1,"(1, [0.5, 0.5, 0.5, 0.5, 0.5], 32)",24446.55078125,0.6515412026095337,[0.0082001],[2.72466389],nan,nan,True,False,nan
2,"(2, [0.5, 0.5, 0.5, 0.5, 0.5], 32)",24585.57421875,0.5785446630430477,[0.11491066],[60.43238692],nan,nan,True,False,nan
3,"(3, [0.167, 0.5, 0.5, 0.5, 0.5], 32)",24376.90625,0.5537200186497077,[0.02667025],[9.3201892],nan,nan,True,False,nan
4,"(4, [0.167, 0.5, 0.5, 0.5, 0.5], 32)",24389.84375,0.5667435753946353,[0.01830007],[5.87495162],nan,nan,True,False,nan
5,"(5, [0.167, 0.5, 0.5, 0.5, 0.5], 32)",24512.70703125,0.6274332176879966,[0.08672955],[24.57056313],nan,nan,True,False,nan
6,"(6, [0.833, 0.5, 0.5, 0.5, 0.5], 32)",24475.59765625,0.6243020377118431,[0.10334926],[25.43020956],nan,nan,True,False,nan
7,"(7, [0.833, 0.5, 0.5, 0.5, 0.5], 32)",24364.73046875,0.5784754536235869,[0.04795113],[12.81755077],nan,nan,True,False,nan
8,"(8, [0.833, 0.5, 0.5, 0.5, 0.5], 32)",24414.03515625,0.579812806745139,[0.09717174],[23.41261942],nan,nan,True,False,nan
9,"(9, [0.5, 0.167, 0.5, 0.5, 0.5], 32)",24561.6796875,0.5890475869164178,[0.07671264],[31.86181549],nan,nan,True,False,nan
10,"(10, [0.5, 0.167, 0.5, 0.5, 0.5], 32)",24455.7734375,0.6332498936029328,[0.01673423],[5.04478743],nan,nan,True,False,nan
11,"(11, [0.5, 0.167, 0.5, 0.5, 0.5], 32)",24437.740234375,0.655293059816057,[0.01690676],[5.75676115],nan,nan,True,False,nan
12,"(12, [0.5, 0.833, 0.5, 0.5, 0.5], 32)",24511.015625,0.6023719097430963,[0.00985069],[2.7930187],nan,nan,True,False,nan
13,"(13, [0.5, 0.833, 0.5, 0.5, 0.5], 32)",24533.33203125,0.5802208624259043,[0.01190962],[4.2528986],nan,nan,True,False,nan
14,"(14, [0.5, 0.833, 0.5, 0.5, 0.5], 32)",24493.55078125,0.6044258034256347,[0.00233129],[0.7468126],nan,nan,True,False,nan
15,"(15, [0.833, 0.167, 0.5, 0.5, 0.5], 32)",24491.4140625,0.6529917559175054,[0.03403265],[9.60396853],nan,nan,True,False,nan
