loss,configuration
24367.390625,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.8333333333333333], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.8333333333333333], 32)]"
24375.452473958332,"[([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.5, 0.8333333333333333, 0.5, 0.5], 32)]"
24378.4697265625,"[([0.5, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
24380.083984375,"[([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.5, 0.5], 32)]"
24381.333984375,"[([0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.5], 32)]"
24382.1943359375,"[([0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5], 32)]"
24384.25390625,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333], 32)]"
24386.080078125,"[([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
24386.1552734375,"[([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.5, 0.16666666666666666, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
24390.83984375,"[([0.9444444444444444, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32), ([0.9444444444444444, 0.8333333333333333, 0.8333333333333333, 0.5, 0.5], 32)]"
