sihlouette,configuration
-inf,"[([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
-inf,"[([0.16666666666666666, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.5, 0.8333333333333333, 0.5], 32)]"
-inf,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.8333333333333333, 0.5], 32)]"
-inf,"[([0.5, 0.8333333333333333, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.8333333333333333, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.8333333333333333, 0.5], 32)]"
-inf,"[([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.16666666666666666, 0.16666666666666666, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
-inf,"[([0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.8333333333333333, 0.16666666666666666, 0.5], 32)]"
-inf,"[([0.8333333333333333, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.8333333333333333, 0.05555555555555555, 0.16666666666666666, 0.5], 32)]"
-inf,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4629629629629629], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4629629629629629], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4629629629629629], 32)]"
-inf,"[([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.537037037037037], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.537037037037037], 32), ([0.9444444444444444, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666, 0.537037037037037], 32)]"
0.529926238346923,"[([0.8333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.16666666666666666, 0.5], 32)]"
0.5495076889678691,"[([0.8333333333333333, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32), ([0.8333333333333333, 0.5, 0.16666666666666666, 0.8333333333333333, 0.5], 32)]"
0.5659887545145637,"[([0.5, 0.8333333333333333, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.16666666666666666, 0.5], 32), ([0.5, 0.8333333333333333, 0.5, 0.16666666666666666, 0.5], 32)]"
0.5674448752697112,"[([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666], 32), ([0.8333333333333333, 0.5, 0.8333333333333333, 0.16666666666666666, 0.16666666666666666], 32)]"
